Building Parameter,"envelop area, Aenv,i (m2)",Uoriginal W/(m2K),dinsulation (mm),border type,Radd (m2K/W),"Rmeasure,predef,i (m2K/W)","dinsulation,predef,i (mm)","dinsulation,i (mm)","Rmeasure,i(m2K/W)","Thermal_insulation,effective,i (W/(m.K)",type of refurbishment,"Rbefore,i(m2K/W)","Rmeasure,result,i(m2K/W)","Umeasureresult,iW/(m2K)","fmeasure,i","Uactual,iW/(m2K)"
roof_1,102.8,0,0,ext,0,7.66,300,269,6.86,0.04,replace,0,6.86,0.146,100,1.3
roof_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
wall_1,146,0,0,ext,0,7.04,240,200,5.86,0.03,replace,0,5.86,0.17,100,2.2
wall_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
wall_3,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
floor_1,102.8,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0.88
floor_2,0,0,0,soil,0,3.5,120,201,5.86,0.03,replace,0,5.86,0.17,100,0
window_1,54.1,0,0,-,0,0,0,0,0.91,0,replace,0,0.91,1.1,100,2.7
window_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
door_1,2,0,0,-,0,0,0,0,0.77,0,replace,0,0.77,1.3,100,3
,,,,,,,,,,,,,,,,
Building Parameter,"envelop area, Aenv,i (m2)",Uoriginal W/(m2K),dinsulation (mm),border type,Radd (m2K/W),"Rmeasure,predef,i (m2K/W)","dinsulation,predef,i (mm)","dinsulation,i (mm)","Rmeasure,i(m2K/W)","Thermal_insulation,effective,i (W/(m.K)",type of refurbishment,"Rbefore,i(m2K/W)","Rmeasure,result,i(m2K/W)","Umeasureresult,iW/(m2K)","fmeasure,i","Uactual,iW/(m2K)"
roof_1,158.5,0,0,ext,0,7.66,300,299,7.64,0.04,replace,0,7.64,0.131,100,1.4
roof_2,31.1,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0.645
wall_1,323.5,0,0,ext,0,7.04,240,222,6.51,0.03,replace,0,6.51,0.15,100,1.7
wall_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
wall_3,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
floor_1,127.4,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0.77
floor_2,31.1,0,0,soil,0,3.5,120,223,6.51,0.03,replace,0,6.51,0.15,100,1
window_1,71.2,0,0,-,0,0,0,0,0.91,0,replace,0,0.91,1.1,100,3
window_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
door_1,2,0,0,-,0,0,0,0,0.77,0,replace,0,0.77,1.3,100,3
,,,,,,,,,,,,,,,,
Building Parameter,"envelop area, Aenv,i (m2)",Uoriginal W/(m2K),dinsulation (mm),border type,Radd (m2K/W),"Rmeasure,predef,i (m2K/W)","dinsulation,predef,i (mm)","dinsulation,i (mm)","Rmeasure,i(m2K/W)","Thermal_insulation,effective,i (W/(m.K)",type of refurbishment,"Rbefore,i(m2K/W)","Rmeasure,result,i(m2K/W)","Umeasureresult,iW/(m2K)","fmeasure,i","Uactual,iW/(m2K)"
roof_1,0,0,0,ext,0,5.71,200,139,3.96,0.04,replace,0,3.96,0.253,100,0
roof_2,355,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,1.081
wall_1,462,0,0,ext,0,3.61,120,115,3.46,0.03,replace,0,3.46,0.29,100,1.2
wall_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
wall_3,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
floor_1,355,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,1.33
floor_2,0,0,0,soil,0,3.5,120,118,3.46,0.03,replace,0,3.46,0.29,100,0
window_1,98.7,0,0,-,0,0,0,0,0.91,0,replace,0,0.91,1.1,100,3
window_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
door_1,2,0,0,-,0,0,0,0,0.77,0,replace,0,0.77,1.3,100,3
,,,,,,,,,,,,,,,,
Building Parameter,"envelop area, Aenv,i (m2)",Uoriginal W/(m2K),dinsulation (mm),border type,Radd (m2K/W),"Rmeasure,predef,i (m2K/W)","dinsulation,predef,i (mm)","dinsulation,i (mm)","Rmeasure,i(m2K/W)","Thermal_insulation,effective,i (W/(m.K)",type of refurbishment,"Rbefore,i(m2K/W)","Rmeasure,result,i(m2K/W)","Umeasureresult,iW/(m2K)","fmeasure,i","Uactual,iW/(m2K)"
roof_1,0,0,0,ext,0,5.71,200,139,3.96,0.04,replace,0,3.96,0.253,100,0
roof_2,971.11,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0.508
wall_1,2039,0,0,ext,0,3.61,120,115,3.46,0.03,replace,0,3.46,0.29,100,1.2
wall_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
wall_3,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
floor_1,971.1,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,1.08
floor_2,0,0,0,soil,0,3.5,120,118,3.46,0.03,replace,0,3.46,0.29,100,0
window_1,507.5,0,0,-,0,0,0,0,0.91,0,replace,0,0.91,1.1,100,3
window_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
door_1,2,0,0,-,0,0,0,0,0.77,0,replace,0,0.77,1.3,100,3
,,,,,,,,,,,,,,,,
Building Parameter,"envelop area, Aenv,i (m2)",Uoriginal W/(m2K),dinsulation (mm),border type,Radd (m2K/W),"Rmeasure,predef,i (m2K/W)","dinsulation,predef,i (mm)","dinsulation,i (mm)","Rmeasure,i(m2K/W)","Thermal_insulation,effective,i (W/(m.K)",type of refurbishment,"Rbefore,i(m2K/W)","Rmeasure,result,i(m2K/W)","Umeasureresult,iW/(m2K)","fmeasure,i","Uactual,iW/(m2K)"
roof_1,0,0,0,ext,0,5.71,200,139,3.96,0.04,replace,0,3.96,0.253,100,0
roof_2,216.7,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0.508
wall_1,336,0,0,ext,0,3.61,120,115,3.46,0.03,replace,0,3.46,0.29,100,1
wall_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
wall_3,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
floor_1,216.7,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0.77
floor_2,0,0,0,soil,0,3.5,120,118,3.46,0.03,replace,0,3.46,0.29,100,0
window_1,81.3,0,0,-,0,0,0,0,0.91,0,replace,0,0.91,1.1,100,3
window_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
door_1,2,0,0,-,0,0,0,0,0.77,0,replace,0,0.77,1.3,100,4
,,,,,,,,,,,,,,,,
Building Parameter,"envelop area, Aenv,i (m2)",Uoriginal W/(m2K),dinsulation (mm),border type,Radd (m2K/W),"Rmeasure,predef,i (m2K/W)","dinsulation,predef,i (mm)","dinsulation,i (mm)","Rmeasure,i(m2K/W)","Thermal_insulation,effective,i (W/(m.K)",type of refurbishment,"Rbefore,i(m2K/W)","Rmeasure,result,i(m2K/W)","Umeasureresult,iW/(m2K)","fmeasure,i","Uactual,iW/(m2K)"
roof_1,0,0,0,ext,0,5.71,200,139,3.96,0.04,replace,0,3.96,0.253,100,0
roof_2,248.25,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0.435
wall_1,447.1,0,0,ext,0,3.61,120,115,3.46,0.03,replace,0,3.46,0.29,100,0.8
wall_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
wall_3,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
floor_1,248.25,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0.65
floor_2,0,0,0,soil,0,3.5,120,118,3.46,0.03,replace,0,3.46,0.29,100,0
window_1,99.4,0,0,-,0,0,0,0,0.91,0,replace,0,0.91,1.1,100,3
window_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
door_1,2,0,0,-,0,0,0,0,0.77,0,replace,0,0.77,1.3,100,4
,,,,,,,,,,,,,,,,
Build+B75+A73:K83+A73+A73:L83,"envelop area, Aenv,i (m2)",Uoriginal W/(m2K),dinsulation (mm),border type,Radd (m2K/W),"Rmeasure,predef,i (m2K/W)","dinsulation,predef,i (mm)","dinsulation,i (mm)","Rmeasure,i(m2K/W)","Thermal_insulation,effective,i (W/(m.K)",type of refurbishment,"Rbefore,i(m2K/W)","Rmeasure,result,i(m2K/W)","Umeasureresult,iW/(m2K)","fmeasure,i","Uactual,iW/(m2K)"
roof_1,0,0,0,ext,0,5.71,200,139,3.96,0.04,replace,0,3.96,0.253,100,0
roof_2,249.4,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0.357
wall_1,774.8,0,0,ext,0,3.61,120,115,3.46,0.03,replace,0,3.46,0.29,100,0.6
wall_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
wall_3,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
floor_1,249.4,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0.51
floor_2,0,0,0,soil,0,3.5,120,118,3.46,0.03,replace,0,3.46,0.29,100,0
window_1,161,0,0,-,0,0,0,0,0.91,0,replace,0,0.91,1.1,100,3
window_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
door_1,2,0,0,-,0,0,0,0,0.77,0,replace,0,0.77,1.3,100,4
,,,,,,,,,,,,,,,,
Build+B75+A73:K83+A73+A73:L83,"envelop area, Aenv,i (m2)",Uoriginal W/(m2K),dinsulation (mm),border type,Radd (m2K/W),"Rmeasure,predef,i (m2K/W)","dinsulation,predef,i (mm)","dinsulation,i (mm)","Rmeasure,i(m2K/W)","Thermal_insulation,effective,i (W/(m.K)",type of refurbishment,"Rbefore,i(m2K/W)","Rmeasure,result,i(m2K/W)","Umeasureresult,iW/(m2K)","fmeasure,i","Uactual,iW/(m2K)"
roof_1,0,0,0,ext,0,5.71,200,139,3.96,0.04,replace,0,3.96,0.253,100,0
roof_2,283.7,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0.317
wall_1,695.8,0,0,ext,0,3.61,120,115,3.46,0.03,replace,0,3.46,0.29,100,0.4
wall_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
wall_3,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
floor_1,283.7,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0.4
floor_2,0,0,0,soil,0,3.5,120,118,3.46,0.03,replace,0,3.46,0.29,100,0
window_1,162.8,0,0,-,0,0,0,0,0.91,0,replace,0,0.91,1.1,100,1.9
window_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
door_1,2,0,0,-,0,0,0,0,0.77,0,replace,0,0.77,1.3,100,2
,,,,,,,,,,,,,,,,
Build+B75+A73:K83+A73+A73:L83,"envelop area, Aenv,i (m2)",Uoriginal W/(m2K),dinsulation (mm),border type,Radd (m2K/W),"Rmeasure,predef,i (m2K/W)","dinsulation,predef,i (mm)","dinsulation,i (mm)","Rmeasure,i(m2K/W)","Thermal_insulation,effective,i (W/(m.K)",type of refurbishment,"Rbefore,i(m2K/W)","Rmeasure,result,i(m2K/W)","Umeasureresult,iW/(m2K)","fmeasure,i","Uactual,iW/(m2K)"
roof_1,580,0,0,ext,0,5.71,200,139,3.96,0.04,replace,0,3.96,0.253,100,0.2
roof_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
wall_1,1698,0,0,ext,0,3.61,120,115,3.46,0.03,replace,0,3.46,0.29,100,0.25
wall_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
wall_3,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
floor_1,619.5,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0.32
floor_2,0,0,0,soil,0,3.5,120,118,3.46,0.03,replace,0,3.46,0.29,100,0
window_1,308.7,0,0,-,0,0,0,0,0.91,0,replace,0,0.91,1.1,100,1.4
window_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
door_1,2,0,0,-,0,0,0,0,0.77,0,replace,0,0.77,1.3,100,3
,,,,,,,,,,,,,,,,
Build+B75+A73:K83+A73+A73:L83,"envelop area, Aenv,i (m2)",Uoriginal W/(m2K),dinsulation (mm),border type,Radd (m2K/W),"Rmeasure,predef,i (m2K/W)","dinsulation,predef,i (mm)","dinsulation,i (mm)","Rmeasure,i(m2K/W)","Thermal_insulation,effective,i (W/(m.K)",type of refurbishment,"Rbefore,i(m2K/W)","Rmeasure,result,i(m2K/W)","Umeasureresult,iW/(m2K)","fmeasure,i","Uactual,iW/(m2K)"
roof_1,321.1,0,0,ext,0,5.71,200,139,3.96,0.04,replace,0,3.96,0.253,100,0.2
roof_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
wall_1,1193.2,0,0,ext,0,3.61,120,115,3.46,0.03,replace,0,3.46,0.29,100,0.28
wall_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
wall_3,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
floor_1,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
floor_2,321.1,0,0,soil,0,3.5,120,118,3.46,0.03,replace,0,3.46,0.29,100,0.35
window_1,243.6,0,0,-,0,0,0,0,0.91,0,replace,0,0.91,1.1,100,1.3
window_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
door_1,47.9,0,0,-,0,0,0,0,0.77,0,replace,0,0.77,1.3,100,1.8
,,,,,,,,,,,,,,,,
Build+B75+A73:K83+A73+A73:L83,"envelop area, Aenv,i (m2)",Uoriginal W/(m2K),dinsulation (mm),border type,Radd (m2K/W),"Rmeasure,predef,i (m2K/W)","dinsulation,predef,i (mm)","dinsulation,i (mm)","Rmeasure,i(m2K/W)","Thermal_insulation,effective,i (W/(m.K)",type of refurbishment,"Rbefore,i(m2K/W)","Rmeasure,result,i(m2K/W)","Umeasureresult,iW/(m2K)","fmeasure,i","Uactual,iW/(m2K)"
roof_1,321.1,0,0,ext,0,5.71,200,139,3.96,0.04,replace,0,3.96,0.253,100,0.253
roof_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
wall_1,1193.2,0,0,ext,0,3.61,120,115,3.46,0.03,replace,0,3.46,0.29,100,0.29
wall_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
wall_3,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
floor_1,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
floor_2,321.1,0,0,soil,0,3.5,120,118,3.46,0.03,replace,0,3.46,0.29,100,0.29
window_1,243.6,0,0,-,0,0,0,0,0.91,0,replace,0,0.91,1.1,100,1.1
window_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
door_1,47.9,0,0,-,0,0,0,0,0.77,0,replace,0,0.77,1.3,100,1.3
