SFH,TH,MFH,AB
5388618,722020,2342857,3175920
5418107,729288,2357482,3198373
5451135,731738,2383368,3232051
5456784,732554,2395409,3243277
5484666,733371,2406898,3254502
5569011,735003,2415236,3276957
5574661,735820,2421475,3288182
5580310,736636,2438393,3299408
5574661,735820,2421475,3277372
5194805,716800,2259123,3064951
4916029,624917,2118796,2854954
4606905,544337,1927172,2582614
4247699,538622,1822802,2451413
4419722,542776,1900751,2559099
4831833,639424,2119207,2854158
5087888,650156,2218317,2994525
5087888,650156,2218317,3007525
5166584,661707,2230706,3018752
5166584,661707,2230706,3018752
5166584,661707,2230706,3018752
5166584,661707,2230706,3018752
5166584,661707,2230706,3018752
5166584,661707,2230706,3018752
5166584,661707,2230706,3018752
5166584,661707,2230706,3018752
5087888,650156,2218317,3007525
5082239,649339,2210942,2996301
5054358,648523,2203220,2985074
5054358,648523,2203220,2985074
5010181,645366,2196745,2973848
5004532,644549,2191133,2962622
5004532,644549,2191133,2962622
4993233,640240,2171351,2929359
4351410,556029,1875059,2508621
4196880,551252,1826816,2464309
4108883,534790,1771540,2376177
3592054,447190,1480100,2000447
3921753,497312,1677816,2258261
3427444,425772,1435504,1923750
4097490,547176,1812521,2438685
4252502,565754,1840385,2502345
4269450,568203,1870035,2536025
4389159,569836,1891119,2558478
4400457,583033,1903132,2580930
4425119,585483,1932780,2614608
4443027,587115,1950782,2637060
4565900,609120,1966765,2659512
4617117,617207,1989056,2693192
4659925,620472,2029202,2738097
4777801,623738,2053049,2783003
4806048,632892,2098808,2839133
4837460,636158,2133923,2884038
4843109,636975,2138561,2895263
4927455,638607,2147020,2917716
4993233,640240,2171351,2940169
4998882,641057,2180075,2951394
5004532,644549,2191133,2951811
5010181,645366,2193634,2944455
4953087,648523,2182377,2943867
4980967,649339,2182170,2949124
4986616,650156,2189545,2953177
5065312,661707,2209863,2975550
5082239,649339,2195988,2962722
5082239,649339,2210942,2983300
5172233,662524,2241221,3029977
5218896,664157,2258874,3052431
5224545,664973,2263513,3063657
5250167,710415,2272987,3086109
5267115,717937,2308961,3119789
