res19,res48,res57,res68,res78,res83,res94,res01,res09,res15,res16
1678.0,1985.0,213.0,282.0,294.0,183.0,370.0,236.0,49.0,50.0,50.0
1689.0,1985.0,231.0,282.0,294.0,183.0,370.0,236.0,49.0,50.0,50.0
1706.0,1985.0,231.0,282.0,294.0,199.0,370.0,236.0,49.0,50.0,50.0
1712.0,1985.0,231.0,282.0,294.0,199.0,370.0,236.0,49.0,50.0,50.0
1717.0,1985.0,231.0,304.0,294.0,199.0,370.0,236.0,49.0,50.0,50.0
1729.0,2058.0,231.0,304.0,294.0,199.0,370.0,236.0,49.0,50.0,50.0
1734.0,2058.0,231.0,304.0,294.0,199.0,370.0,236.0,49.0,50.0,50.0
1740.0,2058.0,231.0,304.0,294.0,199.0,370.0,236.0,49.0,50.0,50.0
1734.0,2058.0,231.0,304.0,294.0,199.0,370.0,236.0,49.0,50.0,50.0
1571.0,1918.0,213.0,282.0,273.0,183.0,370.0,236.0,49.0,50.0,50.0
1520.0,1845.0,213.0,261.0,255.0,168.0,335.0,205.0,41.0,37.0,35.0
1464.0,1705.0,196.0,239.0,255.0,168.0,296.0,169.0,41.0,37.0,35.0
1323.0,1566.0,178.0,239.0,217.0,152.0,296.0,169.0,41.0,31.0,35.0
1413.0,1632.0,178.0,239.0,235.0,152.0,296.0,169.0,32.0,37.0,35.0
1452.0,1839.0,194.0,259.0,253.0,167.0,331.0,201.0,49.0,43.0,42.0
1593.0,1839.0,213.0,282.0,273.0,183.0,370.0,201.0,49.0,43.0,42.0
1593.0,1839.0,213.0,282.0,273.0,183.0,370.0,201.0,49.0,43.0,42.0
1599.0,1912.0,213.0,282.0,273.0,183.0,370.0,201.0,49.0,43.0,42.0
1599.0,1912.0,213.0,282.0,273.0,183.0,370.0,201.0,49.0,43.0,42.0
1599.0,1912.0,213.0,282.0,273.0,183.0,370.0,201.0,49.0,43.0,42.0
1599.0,1912.0,213.0,282.0,273.0,183.0,370.0,201.0,49.0,43.0,42.0
1599.0,1912.0,213.0,282.0,273.0,183.0,370.0,201.0,49.0,43.0,42.0
1599.0,1912.0,213.0,282.0,273.0,183.0,370.0,201.0,49.0,43.0,42.0
1599.0,1912.0,213.0,282.0,273.0,183.0,370.0,201.0,49.0,43.0,42.0
1599.0,1912.0,213.0,282.0,273.0,183.0,370.0,201.0,49.0,43.0,42.0
1593.0,1839.0,213.0,282.0,273.0,183.0,370.0,201.0,49.0,43.0,42.0
1587.0,1839.0,213.0,282.0,273.0,183.0,370.0,201.0,49.0,43.0,42.0
1582.0,1839.0,213.0,259.0,273.0,183.0,370.0,201.0,49.0,43.0,42.0
1582.0,1839.0,213.0,259.0,273.0,183.0,370.0,201.0,49.0,43.0,42.0
1576.0,1839.0,213.0,259.0,273.0,183.0,331.0,201.0,49.0,43.0,42.0
1571.0,1839.0,213.0,259.0,273.0,183.0,331.0,201.0,49.0,43.0,42.0
1571.0,1839.0,213.0,259.0,273.0,183.0,331.0,201.0,49.0,43.0,42.0
1559.0,1839.0,213.0,259.0,273.0,183.0,331.0,201.0,49.0,43.0,42.0
1356.0,1626.0,194.0,217.0,235.0,152.0,296.0,169.0,32.0,37.0,35.0
1300.0,1553.0,176.0,237.0,215.0,151.0,258.0,201.0,41.0,30.0,35.0
1266.0,1553.0,176.0,237.0,215.0,136.0,258.0,169.0,41.0,30.0,28.0
1102.0,1346.0,160.0,195.0,176.0,136.0,258.0,134.0,32.0,24.0,28.0
1198.0,1480.0,176.0,215.0,195.0,136.0,258.0,165.0,41.0,30.0,28.0
1080.0,1273.0,141.0,195.0,176.0,120.0,223.0,134.0,32.0,24.0,28.0
1226.0,1547.0,176.0,215.0,213.0,151.0,293.0,165.0,41.0,36.0,35.0
1339.0,1547.0,176.0,237.0,233.0,151.0,293.0,165.0,41.0,36.0,35.0
