res19,res48,res57,res68,res78,res83,res94,res01,res09,res15,res16
242.0,157.0,64.0,35.0,32.0,30.0,61.0,60.0,15.0,13.0,13.0
244.0,157.0,64.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
247.0,157.0,64.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
247.0,157.0,64.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
248.0,157.0,64.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
250.0,157.0,64.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
251.0,157.0,64.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
251.0,157.0,64.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
251.0,157.0,64.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
242.0,157.0,60.0,35.0,32.0,30.0,61.0,60.0,15.0,13.0,13.0
206.0,136.0,54.0,29.0,27.0,26.0,50.0,60.0,13.0,11.0,13.0
198.0,118.0,50.0,23.0,27.0,22.0,40.0,39.0,10.0,9.0,8.0
192.0,118.0,50.0,23.0,27.0,22.0,40.0,39.0,10.0,9.0,8.0
191.0,118.0,50.0,29.0,27.0,22.0,40.0,39.0,10.0,9.0,8.0
225.0,136.0,59.0,29.0,32.0,26.0,50.0,49.0,12.0,11.0,10.0
230.0,136.0,59.0,29.0,32.0,26.0,50.0,49.0,15.0,11.0,13.0
230.0,136.0,59.0,29.0,32.0,26.0,50.0,49.0,15.0,11.0,13.0
231.0,136.0,59.0,29.0,32.0,26.0,50.0,60.0,15.0,11.0,13.0
231.0,136.0,59.0,29.0,32.0,26.0,50.0,60.0,15.0,11.0,13.0
231.0,136.0,59.0,29.0,32.0,26.0,50.0,60.0,15.0,11.0,13.0
231.0,136.0,59.0,29.0,32.0,26.0,50.0,60.0,15.0,11.0,13.0
231.0,136.0,59.0,29.0,32.0,26.0,50.0,60.0,15.0,11.0,13.0
231.0,136.0,59.0,29.0,32.0,26.0,50.0,60.0,15.0,11.0,13.0
231.0,136.0,59.0,29.0,32.0,26.0,50.0,60.0,15.0,11.0,13.0
231.0,136.0,59.0,29.0,32.0,26.0,50.0,60.0,15.0,11.0,13.0
230.0,136.0,59.0,29.0,32.0,26.0,50.0,49.0,15.0,11.0,13.0
229.0,136.0,59.0,29.0,32.0,26.0,50.0,49.0,15.0,11.0,13.0
229.0,136.0,59.0,29.0,32.0,26.0,50.0,49.0,15.0,11.0,13.0
229.0,136.0,59.0,29.0,32.0,26.0,50.0,49.0,15.0,11.0,13.0
228.0,136.0,59.0,29.0,32.0,26.0,50.0,49.0,15.0,11.0,10.0
227.0,136.0,59.0,29.0,32.0,26.0,50.0,49.0,15.0,11.0,10.0
227.0,136.0,59.0,29.0,32.0,26.0,50.0,49.0,15.0,11.0,10.0
225.0,136.0,59.0,29.0,32.0,26.0,50.0,49.0,12.0,11.0,10.0
182.0,118.0,49.0,29.0,27.0,22.0,50.0,49.0,10.0,9.0,10.0
174.0,116.0,49.0,29.0,27.0,26.0,50.0,49.0,10.0,11.0,10.0
169.0,116.0,44.0,29.0,27.0,21.0,50.0,49.0,10.0,9.0,10.0
160.0,98.0,40.0,17.0,22.0,17.0,29.0,39.0,10.0,7.0,8.0
160.0,116.0,44.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,10.0
157.0,98.0,40.0,17.0,22.0,17.0,29.0,28.0,5.0,7.0,6.0
192.0,116.0,49.0,23.0,27.0,21.0,39.0,49.0,12.0,9.0,10.0
193.0,116.0,49.0,29.0,27.0,21.0,50.0,49.0,12.0,9.0,10.0
196.0,116.0,49.0,29.0,27.0,21.0,50.0,49.0,12.0,9.0,10.0
198.0,116.0,49.0,29.0,27.0,21.0,50.0,49.0,12.0,9.0,10.0
199.0,116.0,54.0,29.0,27.0,26.0,50.0,49.0,12.0,11.0,10.0
202.0,116.0,54.0,29.0,27.0,26.0,50.0,49.0,12.0,11.0,10.0
203.0,116.0,54.0,29.0,27.0,26.0,50.0,49.0,12.0,11.0,10.0
205.0,136.0,54.0,29.0,27.0,26.0,50.0,49.0,12.0,11.0,10.0
207.0,136.0,54.0,29.0,32.0,26.0,50.0,49.0,12.0,11.0,10.0
211.0,136.0,54.0,29.0,32.0,26.0,50.0,49.0,12.0,11.0,10.0
214.0,136.0,54.0,29.0,32.0,26.0,50.0,49.0,12.0,11.0,10.0
218.0,136.0,59.0,29.0,32.0,26.0,50.0,49.0,12.0,11.0,10.0
221.0,136.0,59.0,29.0,32.0,26.0,50.0,49.0,12.0,11.0,10.0
222.0,136.0,59.0,29.0,32.0,26.0,50.0,49.0,12.0,11.0,10.0
224.0,136.0,59.0,29.0,32.0,26.0,50.0,49.0,12.0,11.0,10.0
225.0,136.0,59.0,29.0,32.0,26.0,50.0,49.0,12.0,11.0,10.0
226.0,136.0,59.0,29.0,32.0,26.0,50.0,49.0,12.0,11.0,10.0
227.0,136.0,59.0,29.0,32.0,26.0,50.0,49.0,15.0,11.0,10.0
228.0,136.0,59.0,29.0,32.0,26.0,50.0,49.0,15.0,11.0,10.0
229.0,136.0,59.0,29.0,32.0,26.0,50.0,49.0,15.0,11.0,13.0
229.0,136.0,59.0,29.0,32.0,26.0,50.0,49.0,15.0,11.0,13.0
230.0,136.0,59.0,29.0,32.0,26.0,50.0,49.0,15.0,11.0,13.0
231.0,136.0,59.0,29.0,32.0,26.0,50.0,60.0,15.0,11.0,13.0
229.0,136.0,59.0,29.0,32.0,26.0,50.0,49.0,15.0,11.0,13.0
229.0,136.0,59.0,29.0,32.0,26.0,50.0,49.0,15.0,11.0,13.0
232.0,136.0,59.0,29.0,32.0,26.0,50.0,60.0,15.0,11.0,13.0
234.0,136.0,59.0,29.0,32.0,26.0,50.0,60.0,15.0,11.0,13.0
234.0,136.0,59.0,29.0,32.0,26.0,50.0,60.0,15.0,11.0,13.0
236.0,157.0,59.0,35.0,32.0,30.0,61.0,60.0,15.0,13.0,13.0
238.0,157.0,64.0,35.0,32.0,30.0,61.0,60.0,15.0,13.0,13.0
242.0,157.0,64.0,35.0,32.0,30.0,61.0,60.0,15.0,13.0,13.0
242.0,157.0,64.0,35.0,32.0,30.0,61.0,60.0,15.0,13.0,13.0
247.0,157.0,64.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
245.0,157.0,64.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
248.0,157.0,64.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
251.0,157.0,64.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
256.0,157.0,69.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
254.0,157.0,64.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
256.0,157.0,69.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
256.0,157.0,69.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
258.0,157.0,69.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
259.0,157.0,69.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
259.0,157.0,69.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
259.0,157.0,69.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
260.0,157.0,69.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
260.0,157.0,69.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
260.0,157.0,69.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
261.0,157.0,69.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
262.0,157.0,69.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
260.0,157.0,69.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
258.0,157.0,69.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
256.0,157.0,69.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
253.0,157.0,64.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
251.0,157.0,64.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
249.0,157.0,64.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
247.0,157.0,64.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
244.0,157.0,64.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
242.0,157.0,64.0,35.0,32.0,30.0,61.0,60.0,15.0,13.0,13.0
240.0,157.0,64.0,35.0,32.0,30.0,61.0,60.0,15.0,13.0,13.0
