"Latitude (decimal degrees):	52.405",,,,,,,
"Longitude (decimal degrees):	13.060",,,,,,,
"Elevation (m):	34",,,,,,,
"Radiation database:	PVGIS-SARAH2",,,,,,,
,,,,,,,
,,,,,,,
Slope: 90 deg. ,,,,,,,
Azimuth: 0 deg. ,,,,,,,
time,G(i)_sth,T2m,G(i)_nth,G(i)_est,G(i)_wst,G(i)_hor,Qd
20090101:0011,0,-9.7,0,0,0,0,-5.857152301
20090101:0111,0,-9.9,0,0,0,0,-5.897770881
20090101:0211,0,-10.2,0,0,0,0,-5.958698752
20090101:0311,0,-10.3,0,0,0,0,-5.989008042
20090101:0411,0,-10.4,0,0,0,0,-5.999317332
20090101:0511,0,-10.6,0,0,0,0,-6.049935913
20090101:0611,0,-10.7,0,0,0,0,-6.070245203
20090101:0711,0,-10.8,0,0,0,0,-6.100554493
20090101:0811,2,-10.7,2,2,2,0,-6.060245203
20090101:0911,40,-9.6,40,40,40,0,-5.61684301
20090101:1011,82,-8.7,82,82,82,0,-5.194059398
20090101:1111,148,-7.7,148,148,148,0,-4.630966496
20090101:1211,170,-7,170,170,170,0,-4.368801465
20090101:1311,115,-6.8,115,115,115,0,-4.608182884
20090101:1411,27,-7.5,27,27,27,0,-5.220347916
20090101:1511,3,-8.2,3,3,3,0,-5.512512947
20090101:1611,0,-8.2,0,0,0,0,-5.522512947
20090101:1711,0,-8.3,0,0,0,0,-5.562822238
20090101:1811,0,-8.3,0,0,0,0,-5.562822238
20090101:1911,0,-8.3,0,0,0,0,-5.562822238
20090101:2011,0,-8.3,0,0,0,0,-5.562822238
20090101:2111,0,-8.3,0,0,0,0,-5.562822238
20090101:2211,0,-8.3,0,0,0,0,-5.562822238
20090101:2311,0,-8.3,0,0,0,0,-5.562822238
20090102:0011,0,-8.3,0,0,0,0,-5.562822238
20090102:0111,0,-8.2,0,0,0,0,-5.522512947
20090102:0211,0,-8.1,0,0,0,0,-5.512203657
20090102:0311,0,-8,0,0,0,0,-5.491894367
20090102:0411,0,-8,0,0,0,0,-5.491894367
20090102:0511,0,-7.9,0,0,0,0,-5.461585077
20090102:0611,0,-7.8,0,0,0,0,-5.451275786
20090102:0711,0,-7.8,0,0,0,0,-5.451275786
20090102:0811,1,-7.6,1,1,1,0,-5.390657206
20090102:0911,93,-5.8,93,93,93,0,-4.515089982
20090102:1011,63,-4.8,63,63,63,0,-4.46199708
20090102:1111,70,-4.2,70,70,70,0,-4.290141339
20090102:1211,175,-3.1,175,175,175,0,-3.496739146
20090102:1311,67,-3,67,67,67,0,-4.066429856
20090102:1411,185,-2.7,185,185,185,0,-3.365501986
20090102:1511,15,-3.5,15,15,15,0,-4.457976307
20090102:1611,0,-3.7,0,0,0,0,-4.568594888
20090102:1711,0,-4,0,0,0,0,-4.629522758
